function result,score,generic explanation score,general recommendation,detailed recommendation
0,0,"score results of  a  low surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.1,0.09,"score results of  a  low surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.2,0.24,"score results of  a  low surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.3,0.60,"score results of  a  low surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.4,1.35,"score results of  a  moderate surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.5,2.5,"score results of  a  moderate surface of the electrical components available for the birds and pinnipeds","choose electrical components design allowing the reception of species on resting places","create artificial space and create dedicated areas"
0.6,3.65,"score results of  a  high surface of the electrical components available for the birds and pinnipeds","No recommendation_ensure to maintain this effect_best choice",
0.7,4.40,"score results of  a  high surface of the electrical components available for the birds and pinnipeds","No recommendation_ensure to maintain this effect_best choice",
0.8,4.76,"score results of  a  very high surface of the electrical components available for the birds and pinnipeds","No recommendation_ensure to maintain this effect_best choice",
0.9,4.91,"score results of  a  very high surface of the electrical components available for the birds and pinnipeds","No recommendation_ensure to maintain this effect_best choice",
1,5,"score results of  a  very high surface of the electrical components available for the birds and pinnipeds","No recommendation_ensure to maintain this effect_best choice",
